grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-9241_5092,40.73968178736667,-73.932469051945,6,25.166666666666668,5,0,73.47016,0
-9241_5093,40.745589695807,-73.932749290177,10,15.7,6,0,76.479004,0
-9241_5094,40.75585138604775,-73.9309996013695,40,16.975,16,0,82.21374,0
-9241_5095,40.76464964316867,-73.93097972146533,15,13.133333333333333,11,0,77.307304,0
-9241_5096,40.7709289424425,-73.93149786180334,12,16.083333333333332,6,0,75.55928,0
-9241_5098,40.78958459482,-73.92997268416,1,12.0,1,0,3.1225617,0
-9241_5099,40.79667523574125,-73.9344972962271,24,18.75,13,0,0.7812694,0
-9241_5100,40.80344371496333,-73.93458480342251,12,10.583333333333334,8,0,1.2233438,0
-9241_5101,40.809679764855716,-73.9294673781457,7,13.714285714285714,5,0,0.49040183,0
-9241_5102,40.82107354826375,-73.92971993810625,8,19.375,6,0,1.7419232,0
-9241_5103,40.82902843483,-73.92849645965,45,4.622222222222222,5,0,10.926112,0
-9241_5104,40.83462216841333,-73.92842296516666,3,9.0,3,0,21.467941,0
-9241_5105,40.84505702384083,-73.9354596836,12,15.916666666666666,6,0,10.425219,0
-9241_5106,40.85171716408396,-73.93189832301479,48,17.375,18,0,1.2258953,0
-9241_5107,40.857848877356005,-73.93149039735,5,14.0,3,0,0.80381405,0
-9241_5108,40.86590263446818,-73.9292054078509,11,20.181818181818183,5,0,0.50676835,0
-9242_5072,40.5838215497675,-73.940183316215,4,9.5,2,0,54.657547,0
-9242_5073,40.59039568819,-73.93996017798,3,23.333333333333332,3,1,48.637493,1
-9242_5074,40.59629282393714,-73.94076882358,14,11.142857142857142,9,0,45.322178,0
-9242_5075,40.60293463873,-73.942338747004,10,13.0,7,0,14.726752,0
-9242_5076,40.612462616740004,-73.9405398087657,7,16.285714285714285,5,0,1.1680903,0
-9242_5077,40.621011365966,-73.937863148208,5,13.8,5,0,0.14502296,0
-9242_5078,40.627800456728,-73.942312516546,5,14.6,4,0,0.37723458,0
-9242_5079,40.63537331099334,-73.93774456701334,3,12.333333333333334,2,0,0.3180498,0
-9242_5080,40.642100311694996,-73.93905080855001,4,14.0,4,0,0.22500397,0
-9242_5081,40.653200137915,-73.94067052824583,12,14.5,8,0,0.12951246,0
-9242_5082,40.6619679771725,-73.9395020286475,4,18.75,3,0,0.3552151,0
-9242_5083,40.6683874697775,-73.94086977182499,20,14.35,7,0,3.1396072,0
-9242_5084,40.677667210590556,-73.94101196648222,18,15.11111111111111,11,0,45.748196,0
-9242_5085,40.683331800607036,-73.9408113416848,27,13.407407407407407,14,0,57.84632,0
-9242_5086,40.69172675981722,-73.94054352554834,18,14.88888888888889,13,0,68.50184,0
-9242_5087,40.70035839459936,-73.94016365936575,47,13.617021276595745,23,0,71.020805,0
-9242_5088,40.708924333532984,-73.94171582827894,57,15.807017543859649,23,2,71.02209,1
-9242_5089,40.71509618215579,-73.94175421721157,19,16.57894736842105,10,1,72.298134,1
-9242_5090,40.72329353888308,-73.94162035063616,13,15.692307692307692,10,0,70.38516,0
-9242_5091,40.7348294355775,-73.93713890153501,4,16.75,3,0,74.98685,0
-9242_5092,40.741685180383335,-73.93847004516222,9,14.555555555555555,7,0,74.17016,0
-9242_5093,40.748772031432104,-73.94011238426228,57,16.263157894736842,18,6,77.64095,1
-9242_5094,40.75608026623032,-73.94023880003259,31,15.870967741935484,15,2,77.53747,1
-9242_5095,40.76291195147834,-73.94047609180834,6,11.0,5,0,76.22417,0
-9242_5098,40.78962078004764,-73.94126058204941,17,17.88235294117647,10,0,7.161379,0
-9242_5099,40.79641742320784,-73.94051211667852,74,15.067567567567568,23,0,2.4481282,0
-9242_5100,40.804120632726786,-73.93975536488749,28,15.571428571428571,17,0,3.133242,0
-9242_5101,40.812793645422275,-73.94128641864546,22,21.863636363636363,12,0,18.103786,0
-9242_5102,40.8199377631004,-73.9396715667148,25,15.84,14,0,35.45934,0
-9242_5103,40.82704475936,-73.9407536192775,12,10.416666666666666,10,0,57.18856,0
-9242_5104,40.836914469940886,-73.94092123014222,45,13.333333333333334,22,1,59.211494,1
-9242_5105,40.843438842954896,-73.93863322782674,49,16.224489795918366,19,1,36.678417,1
-9242_5106,40.85108577180743,-73.93768333534359,39,17.384615384615383,19,0,8.5035925,0
-9243_5072,40.583243721993334,-73.947918620008,15,12.6,12,0,66.973816,0
-9243_5073,40.58605544648294,-73.95036818869647,17,19.470588235294116,10,1,67.94388,1
-9243_5074,40.596658481618746,-73.94916020071938,16,14.0625,12,0,48.58869,0
-9243_5075,40.60011274075,-73.94458714963,1,49.0,1,0,20.616898,0
-9243_5076,40.6132588392325,-73.9444708531625,4,19.75,3,0,1.7235491,0
-9243_5077,40.62167452152,-73.94578072383666,3,13.666666666666666,2,0,0.6036243,0
-9243_5078,40.6283725928,-73.94724863644375,16,15.9375,9,0,1.1660674,0
-9243_5079,40.633998610208934,-73.94842956874786,28,13.107142857142858,12,0,3.9748583,0
-9243_5080,40.643294049326194,-73.94931929657095,21,15.047619047619047,9,0,4.8889656,0
-9243_5081,40.651531010515946,-73.94877576719973,37,16.91891891891892,16,0,0.72773355,0
-9243_5082,40.66048851655185,-73.9503536371774,27,15.11111111111111,15,0,3.0016239,0
-9243_5083,40.6687291726813,-73.95050504968087,23,11.173913043478262,11,0,14.46277,0
-9243_5084,40.67566573684243,-73.95000510409459,37,20.72972972972973,20,0,37.923973,0
-9243_5085,40.68285942295229,-73.94813607213916,48,15.770833333333334,26,1,58.618355,1
-9243_5086,40.69141448771737,-73.94915714848948,19,15.157894736842104,11,0,70.90569,0
-9243_5087,40.700304959040004,-73.94671955513637,11,14.272727272727273,9,0,73.13807,0
-9243_5088,40.710007500234,-73.94887348208255,55,15.727272727272727,24,1,74.17855,1
-9243_5089,40.71533486051289,-73.94808274597935,76,16.842105263157894,27,0,74.21676,0
-9243_5090,40.7242615245382,-73.94913033781138,72,13.88888888888889,30,1,72.156166,1
-9243_5091,40.730445014817505,-73.9504515979375,4,13.75,3,0,72.43517,0
-9243_5092,40.74223607625,-73.95099912434834,6,15.833333333333334,5,0,74.54153,0
-9243_5093,40.7476335623273,-73.94731756914243,37,14.567567567567568,14,0,75.64423,0
-9243_5094,40.755388739941246,-73.94894454415625,8,12.0,7,0,75.37705,0
