grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-9225_5085,40.68331355144,-73.80647178099,1,25.0,1,0,56.260723,0
-9225_5086,40.694921686566,-73.804164621306,5,12.8,5,1,80.04835,1
-9225_5087,40.70012629003,-73.80547888873572,35,18.085714285714285,16,1,82.43268,1
-9225_5088,40.70742166628666,-73.80304553200168,18,15.722222222222221,11,3,84.07348,1
-9225_5089,40.71539356822,-73.80581799443625,16,20.125,12,0,73.66055,0
-9225_5090,40.721804136252004,-73.804227799219,10,15.8,9,0,26.93741,0
-9225_5091,40.73299550631,-73.80476383316,5,14.8,5,0,1.7182199,0
-9225_5092,40.73667925852,-73.80267524605,1,33.0,1,0,2.077406,0
-9225_5094,40.757321928283076,-73.80434781337384,13,16.23076923076923,9,0,0.1072026,0
-9225_5095,40.76218563772885,-73.80418565381461,52,14.51923076923077,11,0,0.020120936,0
-9225_5096,40.77118215349,-73.80335967278,1,12.0,1,0,0.011586409,0
-9225_5097,40.78026025261572,-73.80221649644857,7,10.428571428571429,7,0,0.0012327143,0
-9225_5098,40.7868704637,-73.80778381475,1,13.0,1,0,0.0044339593,0
-9225_5099,40.792809965396664,-73.80714662302,3,12.0,3,0,0.007637372,0
-9225_5101,40.8104219018575,-73.8021685921575,4,13.0,2,0,16.27195,0
-9226_5073,40.586884755590525,-73.81360069771422,19,9.368421052631579,11,0,0.00049658684,0
-9226_5082,40.65799322798,-73.80828634238,1,21.0,1,0,3.6249712,0
-9226_5083,40.667674742133336,-73.81088624984666,3,11.0,3,0,29.278612,0
-9226_5084,40.67539749266091,-73.8130279985591,11,12.545454545454545,5,0,45.084496,0
-9226_5085,40.682626774873334,-73.81385549122,3,11.0,3,1,73.16588,1
-9226_5086,40.69112036226231,-73.81311092171077,13,17.46153846153846,9,1,78.372345,1
-9226_5087,40.70176982370375,-73.81137746579417,24,18.0,13,1,80.749054,1
-9226_5088,40.70520444598706,-73.80974762156293,17,17.705882352941178,9,2,80.55025,1
-9226_5089,40.718516753001246,-73.8125086386225,8,8.625,6,0,28.440374,0
-9226_5090,40.721950060932,-73.810042642452,5,7.4,5,1,27.134918,1
-9226_5091,40.730413799232224,-73.81321591901778,9,14.333333333333334,6,0,3.722987,0
-9226_5092,40.73932798330444,-73.81457817809222,9,16.0,8,0,1.5718842,0
-9226_5094,40.7556734399,-73.814431268505,8,24.5,8,0,2.1314101,0
-9226_5095,40.76377466780078,-73.81298916715593,64,21.90625,13,0,0.5242424,0
-9226_5097,40.780592217785,-73.80884011393,2,21.5,2,0,0.0042566694,0
-9226_5098,40.78823590663652,-73.81342316616043,23,13.956521739130435,10,0,0.012425913,0
-9226_5099,40.793194996813334,-73.80981201127666,3,20.666666666666668,3,0,0.008950573,0
-9226_5101,40.81453854978,-73.81505543619,1,8.0,1,0,6.3363285,0
-9226_5102,40.81995465798,-73.81044459845,1,13.0,1,0,17.74083,0
-9226_5103,40.830404288245,-73.815737491535,2,9.5,1,0,15.295476,0
-9226_5107,40.86345899894,-73.8105515014,1,13.0,1,0,0.2915862,0
-9226_5109,40.87321857928,-73.80847698878,1,8.0,1,0,0.04758822,0
-9227_5073,40.586055121401664,-73.81875143265499,6,20.833333333333332,5,0,0.04040699,0
-9227_5074,40.598113079795,-73.820244825255,2,10.0,2,0,0.0033469645,0
-9227_5075,40.603196088525,-73.820023992275,2,5.0,2,0,0.006190334,0
-9227_5083,40.670343642525715,-73.82117978584857,7,19.714285714285715,7,1,46.333817,1
-9227_5084,40.676387484362216,-73.82068517604222,9,24.22222222222222,5,0,62.385742,0
-9227_5085,40.68553897289313,-73.82242744505562,16,19.0,9,1,75.70149,1
-9227_5086,40.69018505141875,-73.81817894812875,16,14.75,8,0,79.48878,0
-9227_5087,40.702298998632145,-73.81884090834929,14,12.357142857142858,11,0,70.82077,0
-9227_5088,40.70811151907818,-73.81782685434636,11,16.0,10,1,60.15801,1
-9227_5089,40.71810305138,-73.81786009945,4,15.75,4,0,37.48546,0
-9227_5090,40.725868664539,-73.821414927379,10,16.1,4,0,7.453269,0
-9227_5091,40.73016328233,-73.823638949414,5,13.4,3,0,5.000825,0
-9227_5093,40.75053067168,-73.81882971049077,13,26.53846153846154,5,0,7.31167,0
-9227_5094,40.754421339177895,-73.8213179862921,19,17.526315789473685,10,0,4.035239,0
-9227_5095,40.76537823682059,-73.81936077516764,17,16.529411764705884,9,0,1.95286,0
-9227_5097,40.77686257535,-73.81757239107,1,11.0,1,0,0.15567791,0
-9227_5098,40.7868833774125,-73.819132850375,4,11.75,4,0,0.049595837,0
-9227_5099,40.79402629759,-73.81804524394,1,9.0,1,0,0.020461828,0
-9227_5101,40.81323610925,-73.82285511755,1,34.0,1,0,8.749706,0
-9227_5102,40.82077392229846,-73.81819225082,13,13.538461538461538,8,0,7.868446,0
-9227_5103,40.8266574793675,-73.82146446302187,16,11.75,14,1,20.345276,1
-9227_5104,40.83557337778,-73.81792033743,1,13.0,1,0,26.202217,0
