grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-14835_8122,40.612452518378,-74.175446665348,5,21.4,2,4,87.69932,1
-14836_8121,40.60587930773,-74.1807305305,1,12.0,1,0,89.67455,0
-14837_8118,40.59318502194,-74.18815301665501,2,51.0,2,1,0.1477974,1
-14838_8106,40.53268167194625,-74.19216628905124,8,16.25,7,0,6.071453,0
-14838_8110,40.553196818376,-74.191854422524,5,11.2,5,0,16.234907,0
-14838_8112,40.56198283561667,-74.19352688087666,3,24.0,2,0,12.347112,0
-14838_8117,40.587936565326665,-74.19253068011334,3,18.0,3,0,0.383849,0
-14838_8120,40.601618612535,-74.192979008685,2,11.0,2,0,0.6777107,0
-14839_8110,40.55439564776,-74.19866638806,1,12.0,1,1,16.234911,1
-14839_8112,40.56044719702,-74.19590609762,1,5.0,1,0,12.347112,0
-14840_8105,40.5262076908325,-74.2019392362825,4,13.25,4,0,6.071453,0
-14840_8110,40.55106468164,-74.20111055392,1,11.0,1,1,35.969208,1
-14841_8108,40.54226569660667,-74.20780529616334,9,16.88888888888889,9,1,52.444424,1
-14842_8110,40.551294644273334,-74.2115874297,3,9.0,3,0,50.99836,0
-14842_8111,40.55560593032,-74.21398223438,1,23.0,1,1,43.461033,1
-14843_8104,40.52220905923778,-74.21672001125889,9,8.222222222222221,6,3,76.79583,1
-14843_8110,40.55348515371,-74.2178402386,1,26.0,1,1,43.461033,1
-14844_8109,40.548878591625,-74.22111219261001,2,5.5,2,0,43.461033,0
-14845_8101,40.5080685179,-74.22828214507,1,21.0,1,1,65.26799,1
-14845_8103,40.51904745113,-74.22979081977,1,10.0,1,0,71.72288,0
-14846_8101,40.50999020758,-74.23085280989,1,0.0,1,0,61.867058,0
-14846_8103,40.517417805710004,-74.23408639039818,11,17.0,10,1,65.197845,1
-14846_8104,40.52246969441875,-74.23494568481,8,18.75,7,2,72.939804,1
-14846_8105,40.5282129198475,-74.23205359000625,8,16.875,5,4,73.82265,1
-14847_8099,40.49956271029,-74.23886367011,1,26.0,1,0,1.5104892,0
-14847_8102,40.51333092401,-74.23740614861501,2,12.0,2,1,71.56239,1
-14847_8104,40.52216243412,-74.23789676651273,11,15.545454545454545,9,2,72.939804,1
-14847_8105,40.52697972682667,-74.23705556643334,3,10.333333333333334,3,0,72.36191,0
-14847_8107,40.53729259174,-74.23807202594332,3,13.0,3,1,73.49332,1
-14848_8101,40.50992190069,-74.24392109008,1,12.0,1,1,61.156178,1
-14848_8102,40.51111128902,-74.24134693862,3,24.333333333333332,2,0,60.77171,0
-14848_8103,40.51730840473,-74.24122193817,1,12.0,1,1,67.53744,1
-14848_8107,40.53682875419,-74.24024575498,1,2.0,1,0,73.49332,0
-14849_8101,40.50914499735,-74.246538031765,2,11.0,2,0,62.118732,0
-14849_8102,40.512101500300005,-74.248405742508,5,18.4,5,1,62.118732,1
