grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-14761_8139,40.69816899207188,-73.8064751573375,16,18.375,10,1,30.570961,1
-14761_8140,40.7020685046952,-73.80764135323601,25,17.44,14,1,42.9782,1
-14761_8141,40.705450955483,-73.809217654162,10,19.1,7,0,42.096043,0
-14761_8142,40.71421878947428,-73.80729433988428,7,13.0,7,1,32.1464,1
-14761_8143,40.716409608422,-73.80814798939801,5,22.2,3,0,25.983418,0
-14761_8144,40.72083380760444,-73.80723864858,9,10.222222222222221,8,0,19.831821,0
-14761_8150,40.75387901808,-73.80650781013,2,21.5,2,0,42.019783,0
-14761_8151,40.75673777579,-73.80901533128,1,43.0,1,0,44.45405,0
-14761_8152,40.7635049160576,-73.8074307462696,25,19.44,7,0,51.45268,0
-14761_8155,40.77799350484,-73.80918521767,1,30.0,1,0,17.304045,0
-14761_8156,40.78319093073,-73.80849501019,1,13.0,1,0,16.501451,0
-14761_8157,40.78689973935,-73.80805637509499,2,20.0,2,0,21.38045,0
-14761_8158,40.793043104072,-73.807594017596,5,18.8,5,0,24.821238,0
-14761_8174,40.87321857928,-73.80847698878,1,8.0,1,0,2.4983687,0
-14762_8116,40.58496414746,-73.81087654676,1,9.0,1,0,36.711838,0
-14762_8117,40.58740803747273,-73.81256568926636,11,10.727272727272727,6,0,36.711834,0
-14762_8133,40.667978370970005,-73.81136300884,2,12.0,2,0,2.373858,0
-14762_8135,40.67533762061444,-73.81240462319111,9,13.555555555555555,4,0,1.9151807,0
-14762_8136,40.682626774873334,-73.81385549122,3,11.0,3,0,2.4110942,0
-14762_8138,40.690668483319094,-73.81380715859545,11,19.09090909090909,7,0,4.587992,0
-14762_8139,40.696609115724996,-73.813840348595,2,17.0,2,0,16.931822,0
-14762_8140,40.70242510880462,-73.81262665913769,13,19.46153846153846,6,0,40.27752,0
-14762_8141,40.70529346282,-73.81124317951667,3,11.0,2,0,41.868904,0
-14762_8143,40.718618821469995,-73.81372450870667,6,9.0,5,0,12.904472,0
-14762_8145,40.7275212055,-73.81325936756,1,8.0,1,0,0.95263004,0
-14762_8146,40.73148956729,-73.81081268246501,4,15.25,3,0,0.9220872,0
-14762_8147,40.737899126965,-73.8123965672,2,6.5,2,0,1.2736516,0
-14762_8151,40.755524084342504,-73.81498981525,4,19.25,4,1,46.66496,1
-14762_8152,40.7634335053304,-73.813180794824,25,23.48,9,0,53.201206,0
-14762_8153,40.76566162409273,-73.81318482708909,11,17.181818181818183,7,2,58.40543,1
-14762_8156,40.78463505383,-73.81373050225,1,22.0,1,0,19.293228,0
-14762_8157,40.788148144189336,-73.81349553144999,15,12.066666666666666,8,2,27.158722,1
-14762_8158,40.790778224715,-73.8127155990825,4,15.25,4,0,27.158722,0
-14762_8163,40.81995465798,-73.81044459845,1,13.0,1,0,9.330104,0
-14762_8172,40.86345899894,-73.8105515014,1,13.0,1,0,5.508543,0
-14763_8116,40.5847443717,-73.81925128097,1,28.0,1,0,23.925097,0
-14763_8117,40.586744916529,-73.816066399858,10,9.7,8,2,48.350327,1
-14763_8119,40.59758533546,-73.81977092713,1,12.0,1,0,50.927925,0
-14763_8121,40.60626129796,-73.81956374487,1,5.0,1,0,50.927925,0
-14763_8134,40.67463676633,-73.81960877006,1,11.0,1,0,4.1226773,0
-14763_8135,40.67601233598,-73.818156487872,5,20.0,4,0,4.1226773,0
-14763_8137,40.688744915732,-73.817688911273,10,12.3,6,0,2.143737,0
-14763_8138,40.69222883151,-73.81792744648,4,23.0,4,0,2.7162805,0
-14763_8140,40.702558077795,-73.817384108158,10,11.2,10,1,49.284386,1
-14763_8141,40.70811151907818,-73.81782685434636,11,16.0,10,1,65.50431,1
-14763_8143,40.71810305138,-73.81786009945,4,15.75,4,0,11.780535,0
-14763_8145,40.72914738025667,-73.81517307329,3,14.333333333333334,3,0,0.37475798,0
-14763_8146,40.730161891579996,-73.815086660715,2,12.5,2,0,0.37976006,0
-14763_8147,40.739617391338335,-73.81522511076334,6,20.333333333333332,5,0,1.7131271,0
-14763_8148,40.74044924778,-73.81505980385,1,9.0,1,0,3.4553506,0
-14763_8150,40.75110309376937,-73.81851753207125,16,23.6875,7,0,35.501488,0
-14763_8151,40.75546886082,-73.8156387732675,4,20.25,4,0,45.68768,0
-14763_8152,40.76263958429067,-73.81528457343134,15,22.266666666666666,3,0,55.007698,0
-14763_8153,40.76525293162167,-73.81758535956332,12,19.0,6,1,46.26911,1
-14763_8155,40.77686257535,-73.81757239107,1,11.0,1,0,8.070449,0
