grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-9228_5072,40.581475630568,-73.829111320267,5,16.0,2,0,0.008946434,0
-9228_5082,40.65966532384933,-73.83068690684301,3,9.0,2,0,2.3570352,0
-9228_5084,40.67764950030831,-73.82860538691581,32,9.46875,14,0,0.15661593,0
-9228_5085,40.68559892057655,-73.82750157443316,20,12.38888888888889,10,0,0.21086422,0
-9228_5086,40.6910945170103,-73.82848483889495,17,19.0,5,0,0.3012527,0
-9228_5087,40.70030690535906,-73.82961693832561,18,16.375,11,0,1.2023953,0
-9228_5088,40.70813746168986,-73.83041215991753,21,15.65,10,0,15.837075,0
-9228_5089,40.71348716292692,-73.82925349677801,12,21.166666666666668,8,1,48.01758,1
-9228_5091,40.7332814112608,-73.8251187195038,5,20.2,2,0,4.0444293,0
-9228_5092,40.743519971307,-73.82562512357683,11,19.818181818181817,2,0,4.554728,0
-9228_5093,40.74839393658325,-73.82660812418776,12,16.75,5,0,9.064104,0
-9228_5094,40.75815367246049,-73.82932226854489,152,17.164383561643834,23,1,32.785023,1
-9228_5095,40.76201242800621,-73.82919953126695,125,18.376,21,0,18.779284,0
-9228_5096,40.77371157320338,-73.82550916963112,8,23.75,7,0,2.7947197,0
-9228_5097,40.779241207156,-73.82785545218384,6,8.333333333333334,5,0,0.30693495,0
-9228_5103,40.83030012608162,-73.82584575514254,13,10.846153846153847,9,0,0.23339589,0
-9228_5104,40.833448612588505,-73.82809782382334,18,14.11111111111111,10,0,0.70563567,0
-9228_5105,40.845174360764766,-73.83092755361791,21,14.142857142857142,15,0,8.6112175,0
-9228_5106,40.8519070549162,-73.8286317953648,10,18.8,8,0,29.810179,0
-9228_5108,40.86740881445752,-73.82931816054733,46,14.73913043478261,25,1,19.136969,1
-9228_5109,40.8771214631098,-73.8282125218662,5,9.8,4,0,3.7604682,0
-9228_5110,40.8850787550342,-73.8273261482578,5,9.2,5,0,1.9481196,0
-9228_5111,40.88842854162133,-73.83097325302033,9,12.88888888888889,6,0,1.1307834,0
-9229_5072,40.5804188240822,-73.8366772307217,20,15.368421052631579,13,0,0.018261803,0
-9229_5081,40.653131654562166,-73.83838512963217,18,14.352941176470589,12,0,10.1868305,0
-9229_5082,40.657596522777,-73.839482979111,5,13.2,4,0,2.6534417,0
-9229_5083,40.670777979249,-73.838249265318,1,10.0,1,0,0.22592627,0
-9229_5084,40.6778220037222,-73.83505725488939,5,10.333333333333334,4,0,0.17100613,0
